,Year and Month,Adj CPI
0,1774-01-01,0.032
1,1775-01-01,0.031
2,1776-01-01,0.035
3,1777-01-01,0.042
4,1778-01-01,0.055
5,1779-01-01,0.049
6,1780-01-01,0.055
7,1781-01-01,0.044
8,1782-01-01,0.048
9,1783-01-01,0.042
10,1784-01-01,0.041
11,1785-01-01,0.039
12,1786-01-01,0.038
13,1787-01-01,0.037
14,1788-01-01,0.036
15,1789-01-01,0.035
16,1790-01-01,0.037
17,1791-01-01,0.038
18,1792-01-01,0.038
19,1793-01-01,0.04
20,1794-01-01,0.044
21,1795-01-01,0.05
22,1796-01-01,0.053
23,1797-01-01,0.051
24,1798-01-01,0.049
25,1799-01-01,0.049
26,1800-01-01,0.05
27,1801-01-01,0.051
28,1802-01-01,0.043
29,1803-01-01,0.045
30,1804-01-01,0.047
31,1805-01-01,0.047
32,1806-01-01,0.049
33,1807-01-01,0.046
34,1808-01-01,0.05
35,1809-01-01,0.049
36,1810-01-01,0.049
37,1811-01-01,0.052
38,1812-01-01,0.053
39,1813-01-01,0.064
40,1814-01-01,0.07
41,1815-01-01,0.062
42,1816-01-01,0.056
43,1817-01-01,0.053
44,1818-01-01,0.051
45,1819-01-01,0.051
46,1820-01-01,0.047
47,1821-01-01,0.045
48,1822-01-01,0.047
49,1823-01-01,0.042
50,1824-01-01,0.039
51,1825-01-01,0.04
52,1826-01-01,0.04
53,1827-01-01,0.04
54,1828-01-01,0.038
55,1829-01-01,0.037
56,1830-01-01,0.037
57,1831-01-01,0.035
58,1832-01-01,0.034
59,1833-01-01,0.034
60,1834-01-01,0.034
61,1835-01-01,0.035
62,1836-01-01,0.037
63,1837-01-01,0.038
64,1838-01-01,0.037
65,1839-01-01,0.037
66,1840-01-01,0.035
67,1841-01-01,0.035
68,1842-01-01,0.033
69,1843-01-01,0.03
70,1844-01-01,0.03
71,1845-01-01,0.03
72,1846-01-01,0.031
73,1847-01-01,0.033
74,1848-01-01,0.032
75,1849-01-01,0.031
76,1850-01-01,0.031
77,1851-01-01,0.031
78,1852-01-01,0.031
79,1853-01-01,0.031
80,1854-01-01,0.034
81,1855-01-01,0.035
82,1856-01-01,0.034
83,1857-01-01,0.035
84,1858-01-01,0.033
85,1859-01-01,0.033
86,1860-01-01,0.033
87,1861-01-01,0.035
88,1862-01-01,0.04
89,1863-01-01,0.05
90,1864-01-01,0.063
91,1865-01-01,0.065
92,1866-01-01,0.064
93,1867-01-01,0.059
94,1868-01-01,0.057
95,1869-01-01,0.054
96,1870-01-01,0.052
97,1871-01-01,0.049
98,1872-01-01,0.049
99,1873-01-01,0.048
100,1874-01-01,0.046
101,1875-01-01,0.044
102,1876-01-01,0.043
103,1877-01-01,0.042
104,1878-01-01,0.04
105,1879-01-01,0.04
106,1880-01-01,0.041
107,1881-01-01,0.041
108,1882-01-01,0.041
109,1883-01-01,0.04
110,1884-01-01,0.039
111,1885-01-01,0.039
112,1886-01-01,0.038
113,1887-01-01,0.038
114,1888-01-01,0.038
115,1889-01-01,0.037
116,1890-01-01,0.036
117,1891-01-01,0.036
118,1892-01-01,0.036
119,1893-01-01,0.036
120,1894-01-01,0.034
