pop_date,country,population
1610-01-01,usa,350
1611-01-01,usa,422
1612-01-01,usa,510
1613-01-01,usa,615
1614-01-01,usa,743
1615-01-01,usa,897
1616-01-01,usa,1083
1617-01-01,usa,1308
1618-01-01,usa,1579
1619-01-01,usa,1906
1620-01-01,usa,2302
1621-01-01,usa,2469
1622-01-01,usa,2649
1623-01-01,usa,2841
1624-01-01,usa,3048
1625-01-01,usa,3270
1626-01-01,usa,3508
1627-01-01,usa,3763
1628-01-01,usa,4037
1629-01-01,usa,4330
1630-01-01,usa,4646
1631-01-01,usa,5532
1632-01-01,usa,6587
1633-01-01,usa,7844
1634-01-01,usa,9341
1635-01-01,usa,11123
1636-01-01,usa,13246
1637-01-01,usa,15773
1638-01-01,usa,18782
1639-01-01,usa,22366
1640-01-01,usa,26634
1641-01-01,usa,28386
1642-01-01,usa,30253
1643-01-01,usa,32244
1644-01-01,usa,34365
1645-01-01,usa,36626
1646-01-01,usa,39036
1647-01-01,usa,41604
1648-01-01,usa,44341
1649-01-01,usa,47258
1650-01-01,usa,50368
1651-01-01,usa,52417
1652-01-01,usa,54551
1653-01-01,usa,56771
1654-01-01,usa,59081
1655-01-01,usa,61485
1656-01-01,usa,63988
1657-01-01,usa,66592
1658-01-01,usa,69302
1659-01-01,usa,72122
1660-01-01,usa,75058
1661-01-01,usa,78118
1662-01-01,usa,81303
1663-01-01,usa,84618
1664-01-01,usa,88069
1665-01-01,usa,91660
1666-01-01,usa,95397
1667-01-01,usa,99287
1668-01-01,usa,103336
1669-01-01,usa,107549
1670-01-01,usa,111935
1671-01-01,usa,115375
1672-01-01,usa,118921
1673-01-01,usa,122576
1674-01-01,usa,126343
1675-01-01,usa,130226
1676-01-01,usa,134228
1677-01-01,usa,138354
1678-01-01,usa,142606
1679-01-01,usa,146989
1680-01-01,usa,151507
1681-01-01,usa,156562
1682-01-01,usa,161787
1683-01-01,usa,167185
1684-01-01,usa,172764
1685-01-01,usa,178529
1686-01-01,usa,184487
1687-01-01,usa,190643
1688-01-01,usa,197004
1689-01-01,usa,203578
1690-01-01,usa,210372
1691-01-01,usa,214110
1692-01-01,usa,217914
1693-01-01,usa,221786
1694-01-01,usa,225727
1695-01-01,usa,229738
1696-01-01,usa,233820
1697-01-01,usa,237975
1698-01-01,usa,242204
1699-01-01,usa,246507
1700-01-01,usa,250888
1701-01-01,usa,257992
1702-01-01,usa,265299
1703-01-01,usa,272812
1704-01-01,usa,280538
1705-01-01,usa,288482
1706-01-01,usa,296652
1707-01-01,usa,305053
1708-01-01,usa,313692
1709-01-01,usa,322575
1710-01-01,usa,331711
1711-01-01,usa,343194
1712-01-01,usa,355074
1713-01-01,usa,367366
1714-01-01,usa,380083
1715-01-01,usa,393241
1716-01-01,usa,406854
1717-01-01,usa,420938
1718-01-01,usa,435510
1719-01-01,usa,450586
1720-01-01,usa,466185
1721-01-01,usa,480394
1722-01-01,usa,495037
1723-01-01,usa,510126
1724-01-01,usa,525675
1725-01-01,usa,541699
1726-01-01,usa,558210
1727-01-01,usa,575225
1728-01-01,usa,592758
1729-01-01,usa,610826
1730-01-01,usa,629445
1731-01-01,usa,652760
1732-01-01,usa,676939
1733-01-01,usa,702014
1734-01-01,usa,728018
1735-01-01,usa,754984
1736-01-01,usa,782950
1737-01-01,usa,811952
1738-01-01,usa,842027
1739-01-01,usa,873217
1740-01-01,usa,905563
1741-01-01,usa,929123
1742-01-01,usa,953297
1743-01-01,usa,978100
1744-01-01,usa,1003548
1745-01-01,usa,1029658
1746-01-01,usa,1056448
1747-01-01,usa,1083934
1748-01-01,usa,1112136
1749-01-01,usa,1141071
1750-01-01,usa,1170760
1751-01-01,usa,1207423
1752-01-01,usa,1245235
1753-01-01,usa,1284231
1754-01-01,usa,1324448
1755-01-01,usa,1365925
1756-01-01,usa,1408701
1757-01-01,usa,1452816
1758-01-01,usa,1498312
