name,time,Income per person,GDP total
World,1800,1236,1216573903040
World,1801,1235,1219436718270
World,1802,1236,1224844009157
World,1803,1234,1227093242019
World,1804,1234,1231808637962
World,1805,1232,1234420098242
World,1806,1232,1238138323187
World,1807,1232,1242762662042
World,1808,1226,1241264538758
World,1809,1226,1246007667620
World,1810,1223,1249697708337
World,1811,1219,1252667611899
World,1812,1217,1258000102337
World,1813,1222,1271796432571
World,1814,1223,1280825854709
World,1815,1225,1291936918003
World,1816,1221,1296923679245
World,1817,1223,1307875907073
World,1818,1228,1322567734296
World,1819,1226,1330186246892
World,1820,1232,1345260296958
World,1821,1238,1360830379925
World,1822,1239,1370861222052
World,1823,1245,1385845488198
World,1824,1253,1404226266485
World,1825,1253,1413636005653
World,1826,1254,1424503869519
World,1827,1259,1439838091779
World,1828,1259,1449958005651
World,1829,1261,1461603221313
World,1830,1265,1474922321169
World,1831,1274,1493074209132
World,1832,1287,1515980501828
World,1833,1291,1528188648585
World,1834,1295,1540468271215
World,1835,1311,1566335994800
World,1836,1312,1574659248780
World,1837,1313,1584168110206
World,1838,1324,1604240223687
World,1839,1324,1612391921195
World,1840,1336,1634324192816
World,1841,1339,1644972150416
World,1842,1338,1652085684671
World,1843,1346,1669124693069
World,1844,1364,1698009589633
World,1845,1368,1710814027532
World,1846,1368,1718726744846
World,1847,1379,1740771533920
World,1848,1384,1755811756439
World,1849,1391,1770819077991
World,1850,1398,1785997978258
World,1851,1414,1811166977633
World,1852,1432,1838701460658
World,1853,1443,1855148831744
World,1854,1456,1874815918589
World,1855,1458,1879637770899
World,1856,1481,1913266189390
World,1857,1501,1941564464079
World,1858,1513,1960861852712
World,1859,1520,1974585685454
World,1860,1544,2010712817595
World,1861,1537,2006807607028
World,1862,1551,2030227937980
World,1863,1587,2085076620367
World,1864,1604,2114284212829
World,1865,1604,2120197137571
World,1866,1612,2138169331670
World,1867,1619,2155437737304
World,1868,1646,2198990156265
World,1869,1663,2230584214465
World,1870,1669,2248320603373
World,1871,1682,2276139595409
World,1872,1711,2327061293283
World,1873,1725,2359826867138
World,1874,1747,2403163716341
World,1875,1768,2445007677956
World,1876,1762,2450436842926
World,1877,1777,2486269797387
World,1878,1791,2520428615623
World,1879,1805,2555478718524
World,1880,1861,2650860004108
World,1881,1886,2705358514819
World,1882,1918,2770007608708
World,1883,1934,2815517273063
World,1884,1944,2850164347362
World,1885,1950,2882162553569
World,1886,1955,2910644525750
World,1887,2014,3021917370539
World,1888,2024,3061387568785
World,1889,2046,3117009129410
World,1890,2074,3183874091914
World,1891,2055,3176480620200
World,1892,2123,3304362739041
World,1893,2134,3344091354310
World,1894,2177,3434979053148
World,1895,2213,3515369528953
World,1896,2220,3550912546681
World,1897,2291,3688756558154
World,1898,2345,3802828971819
World,1899,2391,3905410320970
World,1900,2410,3965478348391
World,1901,2462,4083124102241
World,1902,2499,4179584301993
World,1903,2530,4268112695867
World,1904,2549,4337555467962
World,1905,2569,4408976192609
World,1906,2656,4598827352660
World,1907,2660,4647098988849
World,1908,2617,4610843067483
World,1909,2730,4851971975840
World,1910,2748,4922342522560
World,1911,2774,5005953483790
World,1912,2846,5174485739146
World,1913,2897,5302634476584
World,1914,2761,5089394145246
World,1915,2768,5137282872145
World,1916,2863,5350068553297
World,1917,2782,5235772382636
World,1918,2702,5119435942123
World,1919,2698,5151325675762
World,1920,2686,5166982096727
World,1921,2678,5193962217737
World,1922,2812,5499712219592
World,1923,2895,5712397961579
World,1924,3017,6005320030889
World,1925,3120,6265185969420
World,1926,3199,6481811749836
World,1927,3254,6651325292843
World,1928,3326,6860264919418
World,1929,3413,7104343602462
World,1930,3282,6896773076801
World,1931,3136,6655542200213
World,1932,2976,6380109450433
World,1933,2964,6418657984082
World,1934,3070,6715732013834
World,1935,3224,7126830858405
World,1936,3371,7527713814749
World,1937,3501,7901626129739
World,1938,3474,7922520608304
World,1939,3604,8299470690101
World,1940,3627,8430971050628
World,1941,3742,8775129030134
World,1942,3800,8982670362320
World,1943,3861,9195972645068
World,1944,3858,9258060066334
World,1945,3633,8783614119532
World,1946,3453,8408385043954
World,1947,3511,8615408325854
World,1948,3671,9083491196624
World,1949,3739,9350968278412
World,1950,3920,9926948187807
World,1951,4088,10548630955259
World,1952,4195,11019749003671
World,1953,4344,11615607649230
World,1954,4375,11903104846908
World,1955,4578,12676871387213
World,1956,4700,13245552318265
World,1957,4773,13693600507901
World,1958,4797,14013606571293
World,1959,4915,14625036603774
