year,Population
1600,579000000.0
1650,579000000.0
1700,679000000.0
1750,770000000.0
1800,946764816.0
1801,950949353.2257133
1802,955168653.2154136
1803,959430074.0973089
1804,963726376.3807976
1805,968055764.0830495
1806,972415942.7775135
1807,976803344.6432602
1808,981217619.5151755
1809,985651328.9350202
1810,990878743.5638928
1811,995532712.5928671
1812,1000325622.1356761
1813,1005258096.736189
1814,1010330551.8330837
1815,1015543754.4337378
1816,1020894893.521143
1817,1026382528.7753829
1818,1032007127.1635098
1819,1037768027.0261354
1820,1043665953.7373062
1821,1049578199.9868068
1822,1055501042.4611218
1823,1061433251.7402793
1824,1067371418.5073423
1825,1073327186.8739643
1826,1079295963.0436673
1827,1085279041.9537528
1828,1091276456.5308337
1829,1097289754.5592415
1830,1103319619.9053972
1831,1109359147.228104
1832,1115305848.2307787
1833,1121155292.5683534
1834,1126910232.496969
1835,1132570731.2958164
1836,1138131046.1025226
1837,1143567112.919175
1838,1148861698.1283522
1839,1154029950.6264653
1840,1159081245.2797601
1841,1163860076.4703736
1842,1168506024.381045
1843,1173023503.814438
1844,1177405612.940645
1845,1181662684.5875363
1846,1185785360.0119517
1847,1189782535.3900514
1848,1193656420.9577532
1849,1197409812.1190977
1850,1201046477.0931613
1851,1204690104.559207
1852,1208289011.2795916
1853,1211849186.6897233
1854,1215376007.6136732
1855,1218865074.4197507
1856,1222303872.06958
1857,1225698995.5508335
1858,1229069347.608569
1859,1232462561.2008448
1860,1235823848.3935409
1861,1239298522.265092
1862,1243090554.725595
1863,1247200540.883239
1864,1251626549.633953
1865,1256371045.5078425
1866,1261442305.1437445
1867,1266846732.159216
1868,1272568969.9877892
1869,1278611042.9680939
1870,1284973533.4422855
1871,1291656523.1360285
1872,1298586261.204281
1873,1304594045.292443
1874,1312082253.1935108
1875,1319860814.757697
1876,1327947476.1278992
1877,1335575341.488265
1878,1344425842.9402323
1879,1353630213.596985
1880,1363008988.749228
1881,1372224447.8334868
1882,1381822065.511243
1883,1391557269.9891508
1884,1401119578.6759255
1885,1411074415.2095695
1886,1421182605.1433651
1887,1431126454.1936085
1888,1441482567.7944307
1889,1452012369.833318
1890,1462720390.744074
1891,1473594907.954585
1892,1484687593.0910707
1893,1496014494.7149372
1894,1507556235.021833
1895,1519300926.8091207
1896,1531271629.4066963
1897,1543481820.6710768
1898,1555891052.2814958
1899,1568552138.894643
1900,1581392317.3471382
1901,1594393129.6396673
1902,1607315600.6548283
1903,1620637298.8880146
1904,1634141038.243553
1905,1647854013.9562612
1906,1661715903.4562755
1907,1675259380.1587584
1908,1689400127.6334345
1909,1704163072.9368699
1910,1719394914.6913216
1911,1734741452.9407966
1912,1751304099.6082423
1913,1768064175.2276704
1914,1784378253.1207001
1915,1799897021.2332346
1916,1814200438.2649853
1917,1827734351.0028024
1918,1839399245.493117
1919,1852166384.7664573
1920,1866084685.4132452
1921,1882312765.4508133
1922,1898529832.9315479
1923,1915168411.1408768
1924,1932075515.185437
1925,1948955686.8321412
1926,1965695370.5168521
1927,1982536027.5550888
1928,1999311865.706109
1929,2017045912.2839646
1930,2036276009.978616
1931,2057237433.3304808
1932,2078921219.2094612
1933,2100443072.217227
1934,2121899804.504052
1935,2143194324.0399237
1936,2164788903.6768255
1937,2186533749.196455
1938,2208795641.9861774
1939,2230495015.341976
1940,2251629928.1362023
1941,2272378421.4866123
1942,2293453664.611452
1943,2314816524.1241865
1944,2334719398.8591723
1945,2355292551.8027263
1946,2378793750.212288
1947,2406793627.5911226
1948,2437585102.7639937
1949,2477244597.9002786
1950,2522795097.0
1951,2569951208.0
1952,2616316758.0
1953,2662543504.0
1954,2709178365.0
1955,2756662517.0
1956,2805328910.0
1957,2855404933.0
1958,2907023467.0
1959,2960240049.0
1960,3015085838.0
1961,3071623124.0
1962,3129995156.0
1963,3190446183.0
1964,3253262811.0
1965,3318598296.0
1966,3386535759.0
1967,3456874782.0
1968,3529117645.0
1969,3602582433.0
1970,3676727865.0
1971,3751454788.0
1972,3826757615.0
1973,3902316828.0
1974,3977783768.0
1975,4052954392.0
1976,4127653812.0
1977,4202040817.0
1978,4276676636.0
1979,4352350393.0
1980,4429660149.0
1981,4508601232.0
1982,4589057229.0
1983,4671352595.0
1984,4755854655.0
1985,4842705541.0
1986,4932112905.0
1987,5023677382.0
1988,5116168638.0
1989,5207930480.0
1990,5297738844.0
1991,5385171977.0
1992,5470448447.0
1993,5553789455.0
1994,5635670131.0
1995,5716485992.0
1996,5796242146.0
1997,5874914801.0
1998,5952873494.0
1999,6030583814.0
2000,6108424718.0
2001,6186543057.0
2002,6265005402.0
2003,6344003287.0
2004,6423719971.0
2005,6504280993.0
2006,6585760192.0
2007,6668138074.0
2008,6751310827.0
2009,6835108522.0
2010,6919368228.0
2011,7004042402.0
2012,7089048309.0
2013,7174135279.0
2014,7258995892.0
2015,7343380299.0
2016,7427157079.0
2017,7510270208.0
2018,7592641463.0
2019,7674218669.0
2020,7754954225.0
2021,7834779420.0
2022,7913638043.0
2023,7991520040.0
2024,8068434258.0
2025,8144386957.0
