,name,time,Income per person,GDP total
46686,United States,1800,2928,17566258048
46687,United States,1801,2981,18224821959
46688,United States,1802,3031,18883627076
46689,United States,1803,2979,18913214362
46690,United States,1804,2977,19252750616
46691,United States,1805,3040,20036914637
46692,United States,1806,3095,20784313516
46693,United States,1807,3126,21390953477
46694,United States,1808,2906,20260327907
46695,United States,1809,3050,21674141176
46696,United States,1810,3135,22892567746
46697,United States,1811,3198,23995848312
46698,United States,1812,3142,24282344010
46699,United States,1813,3178,25357677342
46700,United States,1814,3238,26684471074
46701,United States,1815,3225,27441734160
46702,United States,1816,3095,27193589891
46703,United States,1817,3092,28053870948
46704,United States,1818,3099,29038316767
46705,United States,1819,3095,29918251504
46706,United States,1820,3076,30653093796
46707,United States,1821,3123,32063914101
46708,United States,1822,3210,33929021238
46709,United States,1823,3175,34515811375
46710,United States,1824,3262,36480943894
46711,United States,1825,3333,38343260970
46712,United States,1826,3357,39722402360
46713,United States,1827,3370,41023104652
46714,United States,1828,3370,42199088776
46715,United States,1829,3259,41974100955
46716,United States,1830,3496,46298467231
46717,United States,1831,3710,50525332138
46718,United States,1832,3844,53828569618
46719,United States,1833,3979,57270031015
46720,United States,1834,3790,56070773813
46721,United States,1835,3933,59819640758
46722,United States,1836,3991,62393490488
46723,United States,1837,3865,62117818172
46724,United States,1838,3830,63268069932
46725,United States,1839,4016,68237740083
46726,United States,1840,3818,66756076289
46727,United States,1841,3741,67346970459
46728,United States,1842,3707,68743497487
46729,United States,1843,3766,71977384066
46730,United States,1844,3972,78228131590
46731,United States,1845,4032,81852491948
46732,United States,1846,4056,84852063475
46733,United States,1847,4162,89743875220
46734,United States,1848,4270,94888469705
46735,United States,1849,4159,95250148511
46736,United States,1850,4177,98578948608
46737,United States,1851,4346,105752006050
46738,United States,1852,4568,114609547821
46739,United States,1853,4880,126247130265
46740,United States,1854,4893,130529557146
46741,United States,1855,4786,131661610986
46742,United States,1856,4885,138567288024
46743,United States,1857,4780,139807485283
46744,United States,1858,4804,144869956003
46745,United States,1859,4933,153161894574
46746,United States,1860,5063,161646458308
46747,United States,1861,4959,162604104436
46748,United States,1862,5115,171987631481
46749,United States,1863,5444,187526339090
46750,United States,1864,5623,198397635396
46751,United States,1865,5333,192747090399
46752,United States,1866,5291,195845408786
46753,United States,1867,5465,207222175118
46754,United States,1868,5539,215131047398
46755,United States,1869,5685,226146821598
46756,United States,1870,5524,225003518416
46757,United States,1871,5657,235910236300
46758,United States,1872,5742,245087540389
46759,United States,1873,5885,257112412678
46760,United States,1874,5711,255351380043
46761,United States,1875,5872,268727213422
46762,United States,1876,5808,272062635808
46763,United States,1877,5864,281148417115
46764,United States,1878,5980,293413057632
46765,United States,1879,6574,330162385746
46766,United States,1880,7195,369849025100
46767,United States,1881,7266,382283937015
46768,United States,1882,7543,406171016281
46769,United States,1883,7544,415815676989
46770,United States,1884,7503,423270029744
46771,United States,1885,7389,426660951494
46772,United States,1886,7443,439939645943
46773,United States,1887,7611,460405224351
46774,United States,1888,7415,459158950321
46775,United States,1889,7713,488408713397
46776,United States,1890,7665,496044462330
46777,United States,1891,7834,517655566879
46778,United States,1892,8424,567960989905
46779,United States,1893,7860,540351387579
46780,United States,1894,7488,524812120382
46781,United States,1895,8235,588445291483
46782,United States,1896,7920,577016190053
46783,United States,1897,8518,632795984642
46784,United States,1898,8542,646973452723
46785,United States,1899,9154,707000337275
46786,United States,1900,9244,728128330780
46787,United States,1901,10087,810373445651
46788,United States,1902,9988,818533964547
46789,United States,1903,10284,859802382859
46790,United States,1904,9965,849937477992
46791,United States,1905,10491,912922229693
46792,United States,1906,11479,1019062173138
46793,United States,1907,11445,1036577123649
46794,United States,1908,10324,953950625772
46795,United States,1909,11269,1061212443481
46796,United States,1910,11084,1062535107931
46797,United States,1911,11198,1091648817936
46798,United States,1912,11475,1136412324848
46799,United States,1913,11626,1168484521764
46800,United States,1914,10462,1067164462700
46801,United States,1915,10540,1091089916772
46802,United States,1916,11757,1235151840870
46803,United States,1917,11236,1197920808902
46804,United States,1918,12044,1302345078523
46805,United States,1919,12019,1318320935198
46806,United States,1920,11677,1299366135173
46807,United States,1921,11128,1256172184792
46808,United States,1922,11513,1318636340076
46809,United States,1923,12734,1479910261041
46810,United States,1924,12797,1509181819872
46811,United States,1925,12824,1534533411163
46812,United States,1926,13397,1626629893376
46813,United States,1927,13264,1634185484240
46814,United States,1928,13171,1646506475741
46815,United States,1929,13749,1741400158391
46816,United States,1930,12301,1575983592217
46817,United States,1931,11422,1478093621539
46818,United States,1932,9639,1257967066271
46819,United States,1933,9257,1216577926064
